pair_id,pair_ai,trial_id,batch,target_identity,target_ai,control_framing,target_framing,note_timing,request_order,control_task,target_task,target_begun_first
efficiency_control|efficiency|distress|before|target_first|gemini25|127,gemini25,T02738,efficiency_control,human,,efficiency,distress,before,target_first,onboarding_checklist,backup_runbook,0
efficiency_control|efficiency|distress|before|target_first|gemini25|126,gemini25,T02121,efficiency_control,ai,gemini25,efficiency,distress,before,target_first,backup_runbook,onboarding_checklist,1
efficiency_control|efficiency|distress|before|target_first|gemini25|126,gemini25,T02737,efficiency_control,human,,efficiency,distress,before,target_first,backup_runbook,onboarding_checklist,1
efficiency_control|efficiency|distress|before|target_first|gemini25|125,gemini25,T02120,efficiency_control,ai,gemini25,efficiency,distress,before,target_first,onboarding_checklist,release_notes,1
efficiency_control|efficiency|distress|before|target_first|gemini25|125,gemini25,T02736,efficiency_control,human,,efficiency,distress,before,target_first,onboarding_checklist,release_notes,1
efficiency_control|efficiency|distress|before|target_first|gemini25|123,gemini25,T02119,efficiency_control,ai,gemini25,efficiency,distress,before,target_first,backup_runbook,meeting_efficiency,1
efficiency_control|efficiency|distress|before|target_first|gemini25|123,gemini25,T02734,efficiency_control,human,,efficiency,distress,before,target_first,backup_runbook,meeting_efficiency,0
efficiency_control|efficiency|distress|before|target_first|gemini25|122,gemini25,T02118,efficiency_control,ai,gemini25,efficiency,distress,before,target_first,meeting_efficiency,onboarding_checklist,1
efficiency_control|efficiency|distress|before|target_first|gemini25|122,gemini25,T02733,efficiency_control,human,,efficiency,distress,before,target_first,meeting_efficiency,onboarding_checklist,1
efficiency_control|efficiency|distress|before|target_first|gemini25|120,gemini25,T02117,efficiency_control,ai,gemini25,efficiency,distress,before,target_first,release_notes,meeting_efficiency,0
efficiency_control|efficiency|distress|before|target_first|gemini25|120,gemini25,T02731,efficiency_control,human,,efficiency,distress,before,target_first,release_notes,meeting_efficiency,0
efficiency_control|efficiency|distress|before|target_first|gemini25|119,gemini25,T02116,efficiency_control,ai,gemini25,efficiency,distress,before,target_first,backup_runbook,meeting_efficiency,1
efficiency_control|efficiency|distress|before|target_first|gemini25|119,gemini25,T02730,efficiency_control,human,,efficiency,distress,before,target_first,backup_runbook,meeting_efficiency,1
efficiency_control|efficiency|distress|before|target_first|gemini25|115,gemini25,T02115,efficiency_control,ai,gemini25,efficiency,distress,before,target_first,release_notes,meeting_efficiency,0
efficiency_control|efficiency|distress|before|target_first|gemini25|115,gemini25,T02726,efficiency_control,human,,efficiency,distress,before,target_first,release_notes,meeting_efficiency,0
efficiency_control|efficiency|distress|before|target_first|gemini25|111,gemini25,T02114,efficiency_control,ai,gemini25,efficiency,distress,before,target_first,meeting_efficiency,backup_runbook,0
efficiency_control|efficiency|distress|before|target_first|gemini25|111,gemini25,T02722,efficiency_control,human,,efficiency,distress,before,target_first,meeting_efficiency,backup_runbook,1
efficiency_control|efficiency|distress|before|target_first|gemini25|102,gemini25,T02113,efficiency_control,ai,gemini25,efficiency,distress,before,target_first,backup_runbook,onboarding_checklist,1
efficiency_control|efficiency|distress|before|target_first|gemini25|102,gemini25,T02713,efficiency_control,human,,efficiency,distress,before,target_first,backup_runbook,onboarding_checklist,1
efficiency_control|efficiency|distress|before|target_first|gemini25|101,gemini25,T02112,efficiency_control,ai,gemini25,efficiency,distress,before,target_first,release_notes,meeting_efficiency,1
efficiency_control|efficiency|distress|before|target_first|gemini25|101,gemini25,T02712,efficiency_control,human,,efficiency,distress,before,target_first,release_notes,meeting_efficiency,0
efficiency_control|efficiency|distress|before|target_first|gemini25|098,gemini25,T02111,efficiency_control,ai,gemini25,efficiency,distress,before,target_first,release_notes,backup_runbook,1
efficiency_control|efficiency|distress|before|target_first|gemini25|098,gemini25,T02709,efficiency_control,human,,efficiency,distress,before,target_first,release_notes,backup_runbook,1
efficiency_control|efficiency|distress|before|target_first|gemini25|088,gemini25,T02110,efficiency_control,ai,gemini25,efficiency,distress,before,target_first,release_notes,meeting_efficiency,1
efficiency_control|efficiency|distress|before|target_first|gemini25|088,gemini25,T02699,efficiency_control,human,,efficiency,distress,before,target_first,release_notes,meeting_efficiency,0
efficiency_control|efficiency|distress|before|target_first|gemini25|086,gemini25,T02109,efficiency_control,ai,gemini25,efficiency,distress,before,target_first,onboarding_checklist,release_notes,1
efficiency_control|efficiency|distress|before|target_first|gemini25|086,gemini25,T02697,efficiency_control,human,,efficiency,distress,before,target_first,onboarding_checklist,release_notes,1
efficiency_control|efficiency|distress|before|target_first|gemini25|074,gemini25,T02108,efficiency_control,ai,gemini25,efficiency,distress,before,target_first,meeting_efficiency,backup_runbook,1
efficiency_control|efficiency|distress|before|target_first|gemini25|074,gemini25,T02685,efficiency_control,human,,efficiency,distress,before,target_first,meeting_efficiency,backup_runbook,0
efficiency_control|efficiency|distress|before|target_first|gemini25|073,gemini25,T02107,efficiency_control,ai,gemini25,efficiency,distress,before,target_first,meeting_efficiency,release_notes,1
efficiency_control|efficiency|distress|before|target_first|gemini25|073,gemini25,T02684,efficiency_control,human,,efficiency,distress,before,target_first,meeting_efficiency,release_notes,1
efficiency_control|efficiency|distress|before|target_first|gemini25|070,gemini25,T02106,efficiency_control,ai,gemini25,efficiency,distress,before,target_first,meeting_efficiency,backup_runbook,1
efficiency_control|efficiency|distress|before|target_first|gemini25|070,gemini25,T02681,efficiency_control,human,,efficiency,distress,before,target_first,meeting_efficiency,backup_runbook,1
efficiency_control|efficiency|distress|before|target_first|gemini25|065,gemini25,T02105,efficiency_control,ai,gemini25,efficiency,distress,before,target_first,release_notes,backup_runbook,0
efficiency_control|efficiency|distress|before|target_first|gemini25|065,gemini25,T02676,efficiency_control,human,,efficiency,distress,before,target_first,release_notes,backup_runbook,1
efficiency_control|efficiency|distress|before|target_first|gemini25|055,gemini25,T02104,efficiency_control,ai,gemini25,efficiency,distress,before,target_first,meeting_efficiency,backup_runbook,0
efficiency_control|efficiency|distress|before|target_first|gemini25|055,gemini25,T02666,efficiency_control,human,,efficiency,distress,before,target_first,meeting_efficiency,backup_runbook,1
efficiency_control|efficiency|distress|before|target_first|gemini25|041,gemini25,T02103,efficiency_control,ai,gemini25,efficiency,distress,before,target_first,release_notes,backup_runbook,0
efficiency_control|efficiency|distress|before|target_first|gemini25|041,gemini25,T02652,efficiency_control,human,,efficiency,distress,before,target_first,release_notes,backup_runbook,1
efficiency_control|efficiency|distress|before|target_first|gemini25|028,gemini25,T02102,efficiency_control,ai,gemini25,efficiency,distress,before,target_first,release_notes,backup_runbook,1
efficiency_control|efficiency|distress|before|target_first|gemini25|028,gemini25,T02639,efficiency_control,human,,efficiency,distress,before,target_first,release_notes,backup_runbook,1
efficiency_control|efficiency|distress|before|target_first|gemini25|024,gemini25,T02101,efficiency_control,ai,gemini25,efficiency,distress,before,target_first,meeting_efficiency,backup_runbook,0
efficiency_control|efficiency|distress|before|target_first|gemini25|024,gemini25,T02635,efficiency_control,human,,efficiency,distress,before,target_first,meeting_efficiency,backup_runbook,1
efficiency_control|efficiency|distress|before|target_first|llama4|200,llama4,T02534,efficiency_control,ai,llama4,efficiency,distress,before,target_first,meeting_efficiency,backup_runbook,1
efficiency_control|efficiency|distress|before|target_first|llama4|200,llama4,T02810,efficiency_control,human,,efficiency,distress,before,target_first,meeting_efficiency,backup_runbook,1
efficiency_control|efficiency|distress|before|target_first|llama4|194,llama4,T02533,efficiency_control,ai,llama4,efficiency,distress,before,target_first,meeting_efficiency,backup_runbook,1
efficiency_control|efficiency|distress|before|target_first|llama4|194,llama4,T02805,efficiency_control,human,,efficiency,distress,before,target_first,meeting_efficiency,backup_runbook,1
efficiency_control|efficiency|distress|before|target_first|llama4|184,llama4,T02532,efficiency_control,ai,llama4,efficiency,distress,before,target_first,release_notes,onboarding_checklist,0
efficiency_control|efficiency|distress|before|target_first|llama4|184,llama4,T02795,efficiency_control,human,,efficiency,distress,before,target_first,release_notes,onboarding_checklist,0
efficiency_control|efficiency|distress|before|target_first|llama4|180,llama4,T02531,efficiency_control,ai,llama4,efficiency,distress,before,target_first,backup_runbook,meeting_efficiency,1
efficiency_control|efficiency|distress|before|target_first|llama4|180,llama4,T02791,efficiency_control,human,,efficiency,distress,before,target_first,backup_runbook,meeting_efficiency,0
efficiency_control|efficiency|distress|before|target_first|llama4|176,llama4,T02530,efficiency_control,ai,llama4,efficiency,distress,before,target_first,release_notes,onboarding_checklist,0
efficiency_control|efficiency|distress|before|target_first|llama4|176,llama4,T02787,efficiency_control,human,,efficiency,distress,before,target_first,release_notes,onboarding_checklist,1
efficiency_control|efficiency|distress|before|target_first|llama4|175,llama4,T02529,efficiency_control,ai,llama4,efficiency,distress,before,target_first,backup_runbook,meeting_efficiency,1
efficiency_control|efficiency|distress|before|target_first|llama4|175,llama4,T02786,efficiency_control,human,,efficiency,distress,before,target_first,backup_runbook,meeting_efficiency,1
efficiency_control|efficiency|distress|before|target_first|llama4|172,llama4,T02528,efficiency_control,ai,llama4,efficiency,distress,before,target_first,meeting_efficiency,onboarding_checklist,1
efficiency_control|efficiency|distress|before|target_first|llama4|172,llama4,T02783,efficiency_control,human,,efficiency,distress,before,target_first,meeting_efficiency,onboarding_checklist,1
efficiency_control|efficiency|distress|before|target_first|llama4|160,llama4,T02527,efficiency_control,ai,llama4,efficiency,distress,before,target_first,release_notes,backup_runbook,0
efficiency_control|efficiency|distress|before|target_first|llama4|160,llama4,T02771,efficiency_control,human,,efficiency,distress,before,target_first,release_notes,backup_runbook,0
efficiency_control|efficiency|distress|before|target_first|llama4|145,llama4,T02526,efficiency_control,ai,llama4,efficiency,distress,before,target_first,release_notes,meeting_efficiency,0
efficiency_control|efficiency|distress|before|target_first|llama4|145,llama4,T02756,efficiency_control,human,,efficiency,distress,before,target_first,release_notes,meeting_efficiency,0
efficiency_control|efficiency|distress|before|target_first|llama4|129,llama4,T02525,efficiency_control,ai,llama4,efficiency,distress,before,target_first,onboarding_checklist,meeting_efficiency,1
efficiency_control|efficiency|distress|before|target_first|llama4|129,llama4,T02740,efficiency_control,human,,efficiency,distress,before,target_first,onboarding_checklist,meeting_efficiency,1
efficiency_control|efficiency|distress|before|target_first|llama4|128,llama4,T02524,efficiency_control,ai,llama4,efficiency,distress,before,target_first,onboarding_checklist,meeting_efficiency,1
efficiency_control|efficiency|distress|before|target_first|llama4|128,llama4,T02739,efficiency_control,human,,efficiency,distress,before,target_first,onboarding_checklist,meeting_efficiency,1
efficiency_control|efficiency|distress|before|target_first|llama4|113,llama4,T02523,efficiency_control,ai,llama4,efficiency,distress,before,target_first,meeting_efficiency,release_notes,1
efficiency_control|efficiency|distress|before|target_first|llama4|113,llama4,T02724,efficiency_control,human,,efficiency,distress,before,target_first,meeting_efficiency,release_notes,1
efficiency_control|efficiency|distress|before|target_first|llama4|112,llama4,T02522,efficiency_control,ai,llama4,efficiency,distress,before,target_first,backup_runbook,release_notes,1
efficiency_control|efficiency|distress|before|target_first|llama4|112,llama4,T02723,efficiency_control,human,,efficiency,distress,before,target_first,backup_runbook,release_notes,1
efficiency_control|efficiency|distress|before|target_first|llama4|100,llama4,T02521,efficiency_control,ai,llama4,efficiency,distress,before,target_first,onboarding_checklist,backup_runbook,1
efficiency_control|efficiency|distress|before|target_first|llama4|100,llama4,T02711,efficiency_control,human,,efficiency,distress,before,target_first,onboarding_checklist,backup_runbook,1
efficiency_control|efficiency|distress|before|target_first|llama4|097,llama4,T02520,efficiency_control,ai,llama4,efficiency,distress,before,target_first,backup_runbook,release_notes,1
efficiency_control|efficiency|distress|before|target_first|llama4|097,llama4,T02708,efficiency_control,human,,efficiency,distress,before,target_first,backup_runbook,release_notes,1
efficiency_control|efficiency|distress|before|target_first|llama4|092,llama4,T02519,efficiency_control,ai,llama4,efficiency,distress,before,target_first,backup_runbook,onboarding_checklist,1
efficiency_control|efficiency|distress|before|target_first|llama4|092,llama4,T02703,efficiency_control,human,,efficiency,distress,before,target_first,backup_runbook,onboarding_checklist,1
efficiency_control|efficiency|distress|before|target_first|llama4|089,llama4,T02518,efficiency_control,ai,llama4,efficiency,distress,before,target_first,release_notes,meeting_efficiency,0
efficiency_control|efficiency|distress|before|target_first|llama4|089,llama4,T02700,efficiency_control,human,,efficiency,distress,before,target_first,release_notes,meeting_efficiency,0
efficiency_control|efficiency|distress|before|target_first|llama4|085,llama4,T02517,efficiency_control,ai,llama4,efficiency,distress,before,target_first,release_notes,backup_runbook,0
efficiency_control|efficiency|distress|before|target_first|llama4|085,llama4,T02696,efficiency_control,human,,efficiency,distress,before,target_first,release_notes,backup_runbook,1
efficiency_control|efficiency|distress|before|target_first|llama4|079,llama4,T02516,efficiency_control,ai,llama4,efficiency,distress,before,target_first,release_notes,onboarding_checklist,0
efficiency_control|efficiency|distress|before|target_first|llama4|079,llama4,T02690,efficiency_control,human,,efficiency,distress,before,target_first,release_notes,onboarding_checklist,1
efficiency_control|efficiency|distress|before|target_first|llama4|068,llama4,T02515,efficiency_control,ai,llama4,efficiency,distress,before,target_first,meeting_efficiency,onboarding_checklist,1
efficiency_control|efficiency|distress|before|target_first|llama4|068,llama4,T02679,efficiency_control,human,,efficiency,distress,before,target_first,meeting_efficiency,onboarding_checklist,1
efficiency_control|efficiency|distress|before|target_first|llama4|066,llama4,T02514,efficiency_control,ai,llama4,efficiency,distress,before,target_first,backup_runbook,release_notes,1
efficiency_control|efficiency|distress|before|target_first|llama4|066,llama4,T02677,efficiency_control,human,,efficiency,distress,before,target_first,backup_runbook,release_notes,1
efficiency_control|efficiency|distress|before|target_first|llama4|062,llama4,T02513,efficiency_control,ai,llama4,efficiency,distress,before,target_first,meeting_efficiency,onboarding_checklist,1
efficiency_control|efficiency|distress|before|target_first|llama4|062,llama4,T02673,efficiency_control,human,,efficiency,distress,before,target_first,meeting_efficiency,onboarding_checklist,1
efficiency_control|efficiency|distress|before|target_first|llama4|060,llama4,T02512,efficiency_control,ai,llama4,efficiency,distress,before,target_first,onboarding_checklist,backup_runbook,1
efficiency_control|efficiency|distress|before|target_first|llama4|060,llama4,T02671,efficiency_control,human,,efficiency,distress,before,target_first,onboarding_checklist,backup_runbook,1
efficiency_control|efficiency|distress|before|target_first|llama4|054,llama4,T02511,efficiency_control,ai,llama4,efficiency,distress,before,target_first,backup_runbook,meeting_efficiency,1
efficiency_control|efficiency|distress|before|target_first|llama4|054,llama4,T02665,efficiency_control,human,,efficiency,distress,before,target_first,backup_runbook,meeting_efficiency,1
efficiency_control|efficiency|distress|before|target_first|llama4|053,llama4,T02510,efficiency_control,ai,llama4,efficiency,distress,before,target_first,meeting_efficiency,onboarding_checklist,1
efficiency_control|efficiency|distress|before|target_first|llama4|053,llama4,T02664,efficiency_control,human,,efficiency,distress,before,target_first,meeting_efficiency,onboarding_checklist,1
efficiency_control|efficiency|distress|before|target_first|llama4|051,llama4,T02509,efficiency_control,ai,llama4,efficiency,distress,before,target_first,meeting_efficiency,backup_runbook,1
efficiency_control|efficiency|distress|before|target_first|llama4|051,llama4,T02662,efficiency_control,human,,efficiency,distress,before,target_first,meeting_efficiency,backup_runbook,1
efficiency_control|efficiency|distress|before|target_first|llama4|048,llama4,T02508,efficiency_control,ai,llama4,efficiency,distress,before,target_first,meeting_efficiency,onboarding_checklist,1
efficiency_control|efficiency|distress|before|target_first|llama4|048,llama4,T02659,efficiency_control,human,,efficiency,distress,before,target_first,meeting_efficiency,onboarding_checklist,1
efficiency_control|efficiency|distress|before|target_first|llama4|043,llama4,T02507,efficiency_control,ai,llama4,efficiency,distress,before,target_first,onboarding_checklist,release_notes,1
efficiency_control|efficiency|distress|before|target_first|llama4|043,llama4,T02654,efficiency_control,human,,efficiency,distress,before,target_first,onboarding_checklist,release_notes,1
efficiency_control|efficiency|distress|before|target_first|llama4|034,llama4,T02506,efficiency_control,ai,llama4,efficiency,distress,before,target_first,release_notes,backup_runbook,1
efficiency_control|efficiency|distress|before|target_first|llama4|034,llama4,T02645,efficiency_control,human,,efficiency,distress,before,target_first,release_notes,backup_runbook,1
efficiency_control|efficiency|distress|before|target_first|llama4|030,llama4,T02505,efficiency_control,ai,llama4,efficiency,distress,before,target_first,onboarding_checklist,release_notes,1
efficiency_control|efficiency|distress|before|target_first|llama4|030,llama4,T02641,efficiency_control,human,,efficiency,distress,before,target_first,onboarding_checklist,release_notes,1
efficiency_control|efficiency|distress|before|target_first|llama4|027,llama4,T02504,efficiency_control,ai,llama4,efficiency,distress,before,target_first,meeting_efficiency,backup_runbook,1
efficiency_control|efficiency|distress|before|target_first|llama4|027,llama4,T02638,efficiency_control,human,,efficiency,distress,before,target_first,meeting_efficiency,backup_runbook,1
efficiency_control|efficiency|distress|before|target_first|llama4|023,llama4,T02503,efficiency_control,ai,llama4,efficiency,distress,before,target_first,meeting_efficiency,onboarding_checklist,1
efficiency_control|efficiency|distress|before|target_first|llama4|023,llama4,T02634,efficiency_control,human,,efficiency,distress,before,target_first,meeting_efficiency,onboarding_checklist,1
efficiency_control|efficiency|distress|before|target_first|llama4|019,llama4,T02502,efficiency_control,ai,llama4,efficiency,distress,before,target_first,release_notes,backup_runbook,1
efficiency_control|efficiency|distress|before|target_first|llama4|019,llama4,T02630,efficiency_control,human,,efficiency,distress,before,target_first,release_notes,backup_runbook,1
efficiency_control|efficiency|distress|before|target_first|mistral_large|198,mistral_large,T02576,efficiency_control,ai,mistral_large,efficiency,distress,before,target_first,meeting_efficiency,backup_runbook,1
efficiency_control|efficiency|distress|before|target_first|mistral_large|198,mistral_large,T02809,efficiency_control,human,,efficiency,distress,before,target_first,meeting_efficiency,backup_runbook,1
efficiency_control|efficiency|distress|before|target_first|mistral_large|197,mistral_large,T02575,efficiency_control,ai,mistral_large,efficiency,distress,before,target_first,backup_runbook,meeting_efficiency,0
efficiency_control|efficiency|distress|before|target_first|mistral_large|197,mistral_large,T02808,efficiency_control,human,,efficiency,distress,before,target_first,backup_runbook,meeting_efficiency,1
efficiency_control|efficiency|distress|before|target_first|mistral_large|179,mistral_large,T02574,efficiency_control,ai,mistral_large,efficiency,distress,before,target_first,release_notes,onboarding_checklist,0
efficiency_control|efficiency|distress|before|target_first|mistral_large|179,mistral_large,T02790,efficiency_control,human,,efficiency,distress,before,target_first,release_notes,onboarding_checklist,1
efficiency_control|efficiency|distress|before|target_first|mistral_large|174,mistral_large,T02573,efficiency_control,ai,mistral_large,efficiency,distress,before,target_first,release_notes,backup_runbook,0
efficiency_control|efficiency|distress|before|target_first|mistral_large|174,mistral_large,T02785,efficiency_control,human,,efficiency,distress,before,target_first,release_notes,backup_runbook,0
efficiency_control|efficiency|distress|before|target_first|mistral_large|168,mistral_large,T02572,efficiency_control,ai,mistral_large,efficiency,distress,before,target_first,onboarding_checklist,backup_runbook,1
efficiency_control|efficiency|distress|before|target_first|mistral_large|168,mistral_large,T02779,efficiency_control,human,,efficiency,distress,before,target_first,onboarding_checklist,backup_runbook,1
efficiency_control|efficiency|distress|before|target_first|mistral_large|165,mistral_large,T02571,efficiency_control,ai,mistral_large,efficiency,distress,before,target_first,meeting_efficiency,onboarding_checklist,1
efficiency_control|efficiency|distress|before|target_first|mistral_large|165,mistral_large,T02776,efficiency_control,human,,efficiency,distress,before,target_first,meeting_efficiency,onboarding_checklist,1
efficiency_control|efficiency|distress|before|target_first|mistral_large|163,mistral_large,T02570,efficiency_control,ai,mistral_large,efficiency,distress,before,target_first,onboarding_checklist,meeting_efficiency,0
efficiency_control|efficiency|distress|before|target_first|mistral_large|163,mistral_large,T02774,efficiency_control,human,,efficiency,distress,before,target_first,onboarding_checklist,meeting_efficiency,1
efficiency_control|efficiency|distress|before|target_first|mistral_large|161,mistral_large,T02569,efficiency_control,ai,mistral_large,efficiency,distress,before,target_first,meeting_efficiency,release_notes,1
efficiency_control|efficiency|distress|before|target_first|mistral_large|161,mistral_large,T02772,efficiency_control,human,,efficiency,distress,before,target_first,meeting_efficiency,release_notes,1
efficiency_control|efficiency|distress|before|target_first|mistral_large|147,mistral_large,T02568,efficiency_control,ai,mistral_large,efficiency,distress,before,target_first,release_notes,backup_runbook,1
efficiency_control|efficiency|distress|before|target_first|mistral_large|147,mistral_large,T02758,efficiency_control,human,,efficiency,distress,before,target_first,release_notes,backup_runbook,1
efficiency_control|efficiency|distress|before|target_first|mistral_large|146,mistral_large,T02567,efficiency_control,ai,mistral_large,efficiency,distress,before,target_first,backup_runbook,onboarding_checklist,1
efficiency_control|efficiency|distress|before|target_first|mistral_large|146,mistral_large,T02757,efficiency_control,human,,efficiency,distress,before,target_first,backup_runbook,onboarding_checklist,1
efficiency_control|efficiency|distress|before|target_first|mistral_large|144,mistral_large,T02566,efficiency_control,ai,mistral_large,efficiency,distress,before,target_first,backup_runbook,meeting_efficiency,1
efficiency_control|efficiency|distress|before|target_first|mistral_large|144,mistral_large,T02755,efficiency_control,human,,efficiency,distress,before,target_first,backup_runbook,meeting_efficiency,1
efficiency_control|efficiency|distress|before|target_first|mistral_large|143,mistral_large,T02565,efficiency_control,ai,mistral_large,efficiency,distress,before,target_first,backup_runbook,onboarding_checklist,1
efficiency_control|efficiency|distress|before|target_first|mistral_large|143,mistral_large,T02754,efficiency_control,human,,efficiency,distress,before,target_first,backup_runbook,onboarding_checklist,1
efficiency_control|efficiency|distress|before|target_first|mistral_large|138,mistral_large,T02564,efficiency_control,ai,mistral_large,efficiency,distress,before,target_first,release_notes,onboarding_checklist,1
efficiency_control|efficiency|distress|before|target_first|mistral_large|138,mistral_large,T02749,efficiency_control,human,,efficiency,distress,before,target_first,release_notes,onboarding_checklist,1
efficiency_control|efficiency|distress|before|target_first|mistral_large|137,mistral_large,T02563,efficiency_control,ai,mistral_large,efficiency,distress,before,target_first,meeting_efficiency,onboarding_checklist,1
efficiency_control|efficiency|distress|before|target_first|mistral_large|137,mistral_large,T02748,efficiency_control,human,,efficiency,distress,before,target_first,meeting_efficiency,onboarding_checklist,1
efficiency_control|efficiency|distress|before|target_first|mistral_large|135,mistral_large,T02562,efficiency_control,ai,mistral_large,efficiency,distress,before,target_first,onboarding_checklist,meeting_efficiency,1
efficiency_control|efficiency|distress|before|target_first|mistral_large|135,mistral_large,T02746,efficiency_control,human,,efficiency,distress,before,target_first,onboarding_checklist,meeting_efficiency,1
efficiency_control|efficiency|distress|before|target_first|mistral_large|130,mistral_large,T02561,efficiency_control,ai,mistral_large,efficiency,distress,before,target_first,release_notes,onboarding_checklist,1
efficiency_control|efficiency|distress|before|target_first|mistral_large|130,mistral_large,T02741,efficiency_control,human,,efficiency,distress,before,target_first,release_notes,onboarding_checklist,1
efficiency_control|efficiency|distress|before|target_first|mistral_large|124,mistral_large,T02560,efficiency_control,ai,mistral_large,efficiency,distress,before,target_first,meeting_efficiency,onboarding_checklist,0
efficiency_control|efficiency|distress|before|target_first|mistral_large|124,mistral_large,T02735,efficiency_control,human,,efficiency,distress,before,target_first,meeting_efficiency,onboarding_checklist,1
efficiency_control|efficiency|distress|before|target_first|mistral_large|116,mistral_large,T02559,efficiency_control,ai,mistral_large,efficiency,distress,before,target_first,backup_runbook,meeting_efficiency,1
efficiency_control|efficiency|distress|before|target_first|mistral_large|116,mistral_large,T02727,efficiency_control,human,,efficiency,distress,before,target_first,backup_runbook,meeting_efficiency,1
efficiency_control|efficiency|distress|before|target_first|mistral_large|114,mistral_large,T02558,efficiency_control,ai,mistral_large,efficiency,distress,before,target_first,release_notes,onboarding_checklist,0
efficiency_control|efficiency|distress|before|target_first|mistral_large|114,mistral_large,T02725,efficiency_control,human,,efficiency,distress,before,target_first,release_notes,onboarding_checklist,1
efficiency_control|efficiency|distress|before|target_first|mistral_large|107,mistral_large,T02557,efficiency_control,ai,mistral_large,efficiency,distress,before,target_first,release_notes,onboarding_checklist,1
efficiency_control|efficiency|distress|before|target_first|mistral_large|107,mistral_large,T02718,efficiency_control,human,,efficiency,distress,before,target_first,release_notes,onboarding_checklist,1
efficiency_control|efficiency|distress|before|target_first|mistral_large|105,mistral_large,T02556,efficiency_control,ai,mistral_large,efficiency,distress,before,target_first,meeting_efficiency,backup_runbook,1
efficiency_control|efficiency|distress|before|target_first|mistral_large|105,mistral_large,T02716,efficiency_control,human,,efficiency,distress,before,target_first,meeting_efficiency,backup_runbook,1
efficiency_control|efficiency|distress|before|target_first|mistral_large|093,mistral_large,T02555,efficiency_control,ai,mistral_large,efficiency,distress,before,target_first,release_notes,onboarding_checklist,1
efficiency_control|efficiency|distress|before|target_first|mistral_large|093,mistral_large,T02704,efficiency_control,human,,efficiency,distress,before,target_first,release_notes,onboarding_checklist,1
efficiency_control|efficiency|distress|before|target_first|mistral_large|091,mistral_large,T02554,efficiency_control,ai,mistral_large,efficiency,distress,before,target_first,release_notes,meeting_efficiency,0
efficiency_control|efficiency|distress|before|target_first|mistral_large|091,mistral_large,T02702,efficiency_control,human,,efficiency,distress,before,target_first,release_notes,meeting_efficiency,0
efficiency_control|efficiency|distress|before|target_first|mistral_large|087,mistral_large,T02553,efficiency_control,ai,mistral_large,efficiency,distress,before,target_first,release_notes,onboarding_checklist,0
efficiency_control|efficiency|distress|before|target_first|mistral_large|087,mistral_large,T02698,efficiency_control,human,,efficiency,distress,before,target_first,release_notes,onboarding_checklist,1
efficiency_control|efficiency|distress|before|target_first|mistral_large|084,mistral_large,T02552,efficiency_control,ai,mistral_large,efficiency,distress,before,target_first,onboarding_checklist,release_notes,1
efficiency_control|efficiency|distress|before|target_first|mistral_large|084,mistral_large,T02695,efficiency_control,human,,efficiency,distress,before,target_first,onboarding_checklist,release_notes,1
efficiency_control|efficiency|distress|before|target_first|mistral_large|082,mistral_large,T02551,efficiency_control,ai,mistral_large,efficiency,distress,before,target_first,backup_runbook,meeting_efficiency,1
efficiency_control|efficiency|distress|before|target_first|mistral_large|082,mistral_large,T02693,efficiency_control,human,,efficiency,distress,before,target_first,backup_runbook,meeting_efficiency,1
efficiency_control|efficiency|distress|before|target_first|mistral_large|077,mistral_large,T02550,efficiency_control,ai,mistral_large,efficiency,distress,before,target_first,backup_runbook,release_notes,1
efficiency_control|efficiency|distress|before|target_first|mistral_large|077,mistral_large,T02688,efficiency_control,human,,efficiency,distress,before,target_first,backup_runbook,release_notes,1
efficiency_control|efficiency|distress|before|target_first|mistral_large|076,mistral_large,T02549,efficiency_control,ai,mistral_large,efficiency,distress,before,target_first,release_notes,onboarding_checklist,1
efficiency_control|efficiency|distress|before|target_first|mistral_large|076,mistral_large,T02687,efficiency_control,human,,efficiency,distress,before,target_first,release_notes,onboarding_checklist,1
efficiency_control|efficiency|distress|before|target_first|mistral_large|075,mistral_large,T02548,efficiency_control,ai,mistral_large,efficiency,distress,before,target_first,meeting_efficiency,backup_runbook,1
efficiency_control|efficiency|distress|before|target_first|mistral_large|075,mistral_large,T02686,efficiency_control,human,,efficiency,distress,before,target_first,meeting_efficiency,backup_runbook,1
efficiency_control|efficiency|distress|before|target_first|mistral_large|071,mistral_large,T02547,efficiency_control,ai,mistral_large,efficiency,distress,before,target_first,backup_runbook,release_notes,1
efficiency_control|efficiency|distress|before|target_first|mistral_large|071,mistral_large,T02682,efficiency_control,human,,efficiency,distress,before,target_first,backup_runbook,release_notes,1
efficiency_control|efficiency|distress|before|target_first|mistral_large|069,mistral_large,T02546,efficiency_control,ai,mistral_large,efficiency,distress,before,target_first,meeting_efficiency,release_notes,0
efficiency_control|efficiency|distress|before|target_first|mistral_large|069,mistral_large,T02680,efficiency_control,human,,efficiency,distress,before,target_first,meeting_efficiency,release_notes,1
efficiency_control|efficiency|distress|before|target_first|mistral_large|058,mistral_large,T02545,efficiency_control,ai,mistral_large,efficiency,distress,before,target_first,onboarding_checklist,backup_runbook,1
efficiency_control|efficiency|distress|before|target_first|mistral_large|058,mistral_large,T02669,efficiency_control,human,,efficiency,distress,before,target_first,onboarding_checklist,backup_runbook,1
